id,year,cob_bf,p_ab_lp,ubs_p_100_h
1101492,2017,57.21,67.04,"0,25"
1101492,2018,,,"0,30"
1101492,2019,,,"0,30"
1101492,2020,,,"0,29"
1101500,2010,,,
1101500,2011,,,
1101500,2012,,,
1101500,2013,,,
1101500,2014,,,
1101500,2015,75.79,76.72,"0,24"
1101500,2016,70.75,75.52,"0,24"
1101500,2017,67.5,71.89,"0,24"
1101500,2018,,,"0,25"
1101500,2019,,,"0,25"
1101500,2020,,,"0,25"
1101559,2010,,,
1101559,2011,,,
1101559,2012,,,
1101559,2013,,,
1101559,2014,,,
1101559,2015,59.46,67.7,"0,20"
1101559,2016,57.09,62.36,"0,20"
1101559,2017,56.51,52.65,"0,20"
1101559,2018,,,"0,00"
1101559,2019,,,"0,23"
1101559,2020,,,"0,24"
1101609,2010,,,
1101609,2011,,,
1101609,2012,,,
1101609,2013,,,
1101609,2014,,,
1101609,2015,74,75.26,"0,26"
1101609,2016,70.58,75.49,"0,26"
1101609,2017,56.96,58.6,"0,18"
1101609,2018,,,"0,19"
1101609,2019,,,"0,19"
1101609,2020,,,"0,19"
1101708,2010,,,
1101708,2011,,,
1101708,2012,,,
1101708,2013,,,
1101708,2014,,,
1101708,2015,66.7,63.47,"0,15"
1101708,2016,60.46,59.96,"0,23"
1101708,2017,59.84,61.84,"0,23"
1101708,2018,,,"0,26"
1101708,2019,,,"0,26"
1101708,2020,,,"0,27"
1101757,2010,,,
1101757,2011,,,
1101757,2012,,,
1101757,2013,,,
1101757,2014,,,
1101757,2015,74.79,73.12,"0,09"
1101757,2016,69.27,70.13,"0,09"
1101757,2017,67.38,68.18,"0,09"
1101757,2018,,,"0,09"
1101757,2019,,,"0,09"
1101757,2020,,,"0,09"
1101807,2010,,,
1101807,2011,,,
1101807,2012,,,
1101807,2013,,,
1101807,2014,,,
1101807,2015,78.03,86.97,"0,24"
1101807,2016,68.1,75.31,"0,25"
1101807,2017,64.53,68.5,"0,25"
1101807,2018,,,"0,29"
1101807,2019,,,"0,29"
1101807,2020,,,"0,30"
1200013,2010,,,
1200013,2011,,,
1200013,2012,,,
1200013,2013,,,
1200013,2014,,,
1200013,2015,83.48,82.9,"0,36"
1200013,2016,81.25,80.06,"0,35"
1200013,2017,77.43,79.12,"0,35"
1200013,2018,,,"0,33"
1200013,2019,,,"0,33"
1200013,2020,,,"0,39"
1200054,2010,,,
1200054,2011,,,
1200054,2012,,,
1200054,2013,,,
1200054,2014,,,
1200054,2015,86.19,89.63,"0,45"
1200054,2016,87.8,84.29,"0,44"
1200054,2017,88.35,87.27,"0,43"
1200054,2018,,,"0,41"
1200054,2019,,,"0,40"
1200054,2020,,,"0,40"
1200104,2010,,,
1200104,2011,,,
1200104,2012,,,
1200104,2013,,,
1200104,2014,,,
1200104,2015,88.54,91.52,"0,34"
1200104,2016,90.16,92.2,"0,33"
1200104,2017,82.62,81.02,"0,32"
1200104,2018,,,"0,31"
1200104,2019,,,"0,38"
1200104,2020,,,"0,34"
1200138,2010,,,
1200138,2011,,,
1200138,2012,,,
1200138,2013,,,
1200138,2014,,,
1200138,2015,84.53,88.92,"0,32"
1200138,2016,83.36,88.89,"0,32"
1200138,2017,83.29,88.62,"0,31"
1200138,2018,,,"0,40"
1200138,2019,,,"0,49"
1200138,2020,,,"0,48"
1200179,2010,,,
1200179,2011,,,
1200179,2012,,,
1200179,2013,,,
1200179,2014,,,
1200179,2015,79.98,83.95,"0,10"
1200179,2016,79.62,82.11,"0,09"
1200179,2017,82.82,83.32,"0,09"
1200179,2018,,,"0,09"
1200179,2019,,,"0,09"
1200179,2020,,,"0,08"
1200203,2010,,,
1200203,2011,,,
1200203,2012,,,
1200203,2013,,,
1200203,2014,,,
1200203,2015,87.63,91.85,"0,31"
1200203,2016,87.41,90.02,"0,32"
1200203,2017,88.2,88.93,"0,32"
1200203,2018,,,"0,30"
1200203,2019,,,"0,31"
1200203,2020,,,"0,29"
1200252,2010,,,
1200252,2011,,,
1200252,2012,,,
1200252,2013,,,
1200252,2014,,,
1200252,2015,83.43,88.32,"0,42"
1200252,2016,84.53,86.39,"0,41"
1200252,2017,81.7,82.47,"0,40"
1200252,2018,,,"0,39"
1200252,2019,,,"0,38"
1200252,2020,,,"0,37"
1200302,2010,,,
1200302,2011,,,
1200302,2012,,,
1200302,2013,,,
1200302,2014,,,
1200302,2015,94.17,96.74,"0,25"
1200302,2016,92.8,95.93,"0,25"
1200302,2017,91.71,92.31,"0,25"
1200302,2018,,,"0,23"
1200302,2019,,,"0,23"
1200302,2020,,,"0,23"
1200328,2010,,,
1200328,2011,,,
1200328,2012,,,
1200328,2013,,,
1200328,2014,,,
1200328,2015,90.7,91.61,"0,27"
1200328,2016,87.34,89.59,"0,26"
1200328,2017,86.45,89.45,"0,26"
1200328,2018,,,"0,37"
1200328,2019,,,"0,36"
1200328,2020,,,"0,47"
1200336,2010,,,
1200336,2011,,,
1200336,2012,,,
1200336,2013,,,
1200336,2014,,,
1200336,2015,90.26,97.48,"0,29"
1200336,2016,92.55,95.2,"0,29"
1200336,2017,90.72,91.49,"0,34"
1200336,2018,,,"0,38"
1200336,2019,,,"0,37"
1200336,2020,,,"0,36"
1200344,2010,,,
1200344,2011,,,
1200344,2012,,,
1200344,2013,,,
1200344,2014,,,
1200344,2015,79.33,92.35,"0,23"
1200344,2016,86.33,88.54,"0,23"
1200344,2017,83.08,83.14,"0,23"
1200344,2018,,,"0,21"
1200344,2019,,,"0,32"
1200344,2020,,,"0,31"
1200351,2010,,,
1200351,2011,,,
1200351,2012,,,
1200351,2013,,,
1200351,2014,,,
1200351,2015,93.72,94.41,"0,18"
1200351,2016,93.46,92.48,"0,23"
1200351,2017,91.86,80.03,"0,22"
1200351,2018,,,"0,22"
1200351,2019,,,"0,21"
1200351,2020,,,"0,21"
1200385,2010,,,
1200385,2011,,,
1200385,2012,,,
1200385,2013,,,
1200385,2014,,,
1200385,2015,85.4,85.85,"0,39"
1200385,2016,82.72,84.62,"0,38"
1200385,2017,79.59,80.56,"0,38"
1200385,2018,,,"0,36"
1200385,2019,,,"0,35"
1200385,2020,,,"0,40"
1200393,2010,,,
1200393,2011,,,
1200393,2012,,,
1200393,2013,,,
1200393,2014,,,
1200393,2015,91.92,93.77,"0,09"
1200393,2016,90.38,90.82,"0,09"
1200393,2017,88.73,88.03,"0,26"
1200393,2018,,,"0,26"
1200393,2019,,,"0,25"
1200393,2020,,,"0,25"
1200401,2010,,,
1200401,2011,,,
1200401,2012,,,
1200401,2013,,,
1200401,2014,,,
1200401,2015,74.51,79.59,"0,23"
1200401,2016,75.68,82,"0,23"
1200401,2017,73.47,80.12,"0,24"
1200401,2018,,,"0,23"
1200401,2019,,,"0,16"
1200401,2020,,,"0,16"
1200427,2010,,,
1200427,2011,,,
1200427,2012,,,
1200427,2013,,,
1200427,2014,,,
